celex,subject,country,case_label,ecli,judge,advocate,chamber,lodge_date,document_date,year_document,year_lodge,is_join_case,ruling_title,ruling_name,ruling_type
62010CJ0461,Telecommunications,Sweden,Case Câ461/10,EU:C:2012:219,MalenovskÃ½,JÃ¤Ã¤skinen,Sweden-Third Chamber,2010-09-20,2012-04-19,2012,2010.0,0,Judgment of the Court (Third Chamber); 19 April 2012.,Bonnier Audio AB and Others v Perfect Communication Sweden AB.,Reference for a preliminary ruling from the Högsta domstolen.
62010CJ0463,Competition,Germany,  Joined cases C-463/10 P and C-475/10 P,EU:C:2011:656,Lenaerts,Bot,Germany-Third Chamber,2010-09-24,2011-10-13,2011,2010.0,1,Judgment of the Court (Third Chamber) of 13 October 2011. , Deutsche Post AG and Federal Republic of Germany v European Commission. ,not_specified
62010CJ0463,State aids,Germany,  Joined cases C-463/10 P and C-475/10 P,EU:C:2011:656,Lenaerts,Bot,Germany-Third Chamber,2010-09-24,2011-10-13,2011,2010.0,1,Judgment of the Court (Third Chamber) of 13 October 2011. , Deutsche Post AG and Federal Republic of Germany v European Commission. ,not_specified
62010CJ0464,Taxation,Belgium,  Case C-464/10,EU:C:2011:489,von Danwitz,Bot,Belgium-Seventh Chamber,2010-09-24,2011-07-14,2011,2010.0,0,Judgment of the Court (Seventh Chamber) of 14 July 2011. , Belgian State v Pierre Henfling and Others. , Reference for a preliminary ruling: Cour d'appel de Mons - Belgium. 
62010CJ0464,Value added tax,Belgium,  Case C-464/10,EU:C:2011:489,von Danwitz,Bot,Belgium-Seventh Chamber,2010-09-24,2011-07-14,2011,2010.0,0,Judgment of the Court (Seventh Chamber) of 14 July 2011. , Belgian State v Pierre Henfling and Others. , Reference for a preliminary ruling: Cour d'appel de Mons - Belgium. 
62010CJ0465,European Regional Development Fund (ERDF),France,  Case C-465/10,EU:C:2011:867,Toader,Sharpston,France-Fourth Chamber,2010-09-27,2011-12-21,2011,2010.0,0,Judgment of the Court (Fourth Chamber) of 21 December 2011. , Ministre de l’Intérieur; de l’Outre-mer; des Collectivités territoriales et de l’Immigration v Chambre de commerce et d'industrie de l'Indre. , Reference for a preliminary ruling: Conseil d'État - France. 
62010CJ0465,Financial provisions,France,  Case C-465/10,EU:C:2011:867,Toader,Sharpston,France-Fourth Chamber,2010-09-27,2011-12-21,2011,2010.0,0,Judgment of the Court (Fourth Chamber) of 21 December 2011. , Ministre de l’Intérieur; de l’Outre-mer; des Collectivités territoriales et de l’Immigration v Chambre de commerce et d'industrie de l'Indre. , Reference for a preliminary ruling: Conseil d'État - France. 
62010CJ0465,Own resources,France,  Case C-465/10,EU:C:2011:867,Toader,Sharpston,France-Fourth Chamber,2010-09-27,2011-12-21,2011,2010.0,0,Judgment of the Court (Fourth Chamber) of 21 December 2011. , Ministre de l’Intérieur; de l’Outre-mer; des Collectivités territoriales et de l’Immigration v Chambre de commerce et d'industrie de l'Indre. , Reference for a preliminary ruling: Conseil d'État - France. 
62010CJ0465,economic; social and territorial cohesion,France,  Case C-465/10,EU:C:2011:867,Toader,Sharpston,France-Fourth Chamber,2010-09-27,2011-12-21,2011,2010.0,0,Judgment of the Court (Fourth Chamber) of 21 December 2011. , Ministre de l’Intérieur; de l’Outre-mer; des Collectivités territoriales et de l’Immigration v Chambre de commerce et d'industrie de l'Indre. , Reference for a preliminary ruling: Conseil d'État - France. 
62010CJ0467,Transport,Germany,  Case C-467/10,EU:C:2012:112,Rosas,Trstenjak,Germany-Second Chamber,2010-09-28,2012-03-01,2012,2010.0,0,Judgment of the Court (Second Chamber) of 1 March 2012. , Criminal proceedings against Baris Akyüz. , Reference for a preliminary ruling: Landgericht Gießen - Germany. 
